,Date,next_day_close_increased,predictions_BTC_only,prediction_Tweet_only,prediction_News_only
0,2021-11-15,0,0,0.0,0.0
1,2021-11-16,1,1,0.2,0.14285714285714285
2,2021-11-17,0,0,0.0,0.0
3,2021-11-18,1,1,0.25,0.09090909090909091
4,2021-11-19,1,1,0.3333333333333333,0.1
5,2021-11-22,1,1,0.09090909090909091,0.1111111111111111
6,2021-11-23,0,0,0.0,0.0
7,2021-11-24,1,1,0.1,0.1
8,2021-11-26,1,1,0.5,0.125
9,2021-11-29,0,0,0.0,0.0
10,2021-11-30,1,0,0.0625,0.09090909090909091
11,2021-12-01,0,0,0.0,0.0
12,2021-12-02,0,0,0.0,0.0
13,2021-12-03,0,0,0.0,0.0
14,2021-12-06,1,1,0.16666666666666666,0.5
15,2021-12-07,0,0,0.0,0.0
16,2021-12-08,0,0,0.0,0.0
17,2021-12-09,0,0,0.0,0.0
18,2021-12-10,1,1,0.3333333333333333,0.1111111111111111
19,2021-12-13,0,0,0.0,0.0
20,2021-12-14,1,1,0.3333333333333333,0.09090909090909091
21,2021-12-15,0,0,0.0,0.0
22,2021-12-16,0,0,0.0,0.0
23,2021-12-17,1,1,0.16666666666666666,0.1111111111111111
24,2021-12-20,1,0,1.0,0.2
25,2021-12-21,0,0,0.0,0.0
26,2021-12-22,1,1,1.0,0.125
27,2021-12-23,1,1,0.0,0.1111111111111111
28,2021-12-27,0,0,0.0,0.0
29,2021-12-28,0,0,0.0,0.0
30,2021-12-29,1,0,0.5,0.125
31,2021-12-30,0,0,0.0,0.0
32,2021-12-31,1,0,0.2,0.16666666666666666
33,2022-01-03,0,0,0.0,0.0
34,2022-01-04,0,0,0.0,0.0
35,2022-01-05,0,0,0.0,0.0
36,2022-01-06,0,0,0.0,0.0
37,2022-01-07,1,1,0.25,0.09090909090909091
38,2022-01-10,1,1,0.25,0.07692307692307693
39,2022-01-11,1,1,0.3333333333333333,0.07692307692307693
40,2022-01-12,0,0,0.0,0.0
41,2022-01-13,1,1,0.1111111111111111,0.045454545454545456
42,2022-01-14,1,0,1.0,0.02564102564102564
43,2022-01-18,0,0,0.0,0.0
44,2022-01-19,0,0,0.0,0.0
45,2022-01-20,0,0,0.0,0.0
46,2022-01-21,0,0,0.0,0.0
47,2022-01-24,1,1,0.16666666666666666,0.03225806451612903
48,2022-01-25,0,1,0.0,0.0
49,2022-01-26,1,1,0.16666666666666666,0.023809523809523808
50,2022-01-27,1,1,0.16666666666666666,0.018867924528301886
51,2022-01-28,1,1,0.25,0.018867924528301886
52,2022-01-31,1,1,0.16666666666666666,0.020833333333333332
53,2022-02-01,0,1,0.0,0.0
54,2022-02-02,1,1,0.5,0.018867924528301886
55,2022-02-03,1,1,0.16666666666666666,0.0196078431372549
56,2022-02-04,0,0,0.0,0.0
57,2022-02-07,1,1,0.3333333333333333,0.02127659574468085
58,2022-02-08,1,0,0.5,0.01818181818181818
59,2022-02-09,0,0,0.0,0.0
60,2022-02-10,0,0,0.0,0.0
61,2022-02-11,0,0,0.0,0.0
62,2022-02-14,1,0,0.2,0.020833333333333332
63,2022-02-15,0,0,0.0,0.0
64,2022-02-16,0,0,0.0,0.0
65,2022-02-17,0,0,0.0,0.0
66,2022-02-18,1,1,0.5,0.018867924528301886
67,2022-02-22,0,0,0.0,0.0
68,2022-02-23,1,1,0.25,0.017857142857142856
69,2022-02-24,1,1,0.3333333333333333,0.018518518518518517
70,2022-02-25,0,0,0.0,0.0
71,2022-02-28,1,1,0.2,0.02040816326530612
72,2022-03-01,0,0,0.0,0.0
73,2022-03-02,0,1,0.0,0.0
74,2022-03-03,0,0,0.0,0.0
75,2022-03-04,1,0,0.08333333333333333,0.02127659574468085
76,2022-03-07,1,1,0.1111111111111111,0.022222222222222223
77,2022-03-08,1,0,0.1,0.02127659574468085
78,2022-03-09,0,0,0.0,0.0
79,2022-03-10,0,0,0.0,0.0
80,2022-03-11,1,1,0.16666666666666666,0.018518518518518517
81,2022-03-14,0,0,0.0,0.0
82,2022-03-15,1,0,0.1,0.016666666666666666
83,2022-03-16,0,0,0.0,0.0
84,2022-03-17,1,0,0.125,0.02
85,2022-03-18,1,0,0.1111111111111111,0.021739130434782608
86,2022-03-21,1,0,0.25,0.019230769230769232
87,2022-03-22,1,1,0.16666666666666666,0.02
88,2022-03-23,1,1,0.3333333333333333,0.0196078431372549
89,2022-03-24,1,1,0.2,0.017543859649122806
90,2022-03-25,1,1,0.14285714285714285,0.019230769230769232
91,2022-03-28,1,1,0.1111111111111111,0.023255813953488372
92,2022-03-29,0,0,0.0,0.0
93,2022-03-30,0,0,0.0,0.0
94,2022-03-31,1,1,0.14285714285714285,0.019230769230769232
95,2022-04-01,0,0,0.0,0.0
96,2022-04-04,0,0,0.0,0.0
97,2022-04-05,0,1,0.0,0.0
98,2022-04-06,1,1,0.1111111111111111,0.015873015873015872
99,2022-04-07,0,0,0.0,0.0
100,2022-04-08,1,1,0.1,0.02
101,2022-04-11,1,1,0.125,0.0196078431372549
102,2022-04-12,1,0,0.3333333333333333,0.018867924528301886
103,2022-04-13,0,0,0.0,0.0
104,2022-04-14,1,1,0.14285714285714285,0.01694915254237288
105,2022-04-18,1,0,0.16666666666666666,0.02127659574468085
106,2022-04-19,0,0,0.0,0.0
107,2022-04-20,0,0,0.0,0.0
108,2022-04-21,0,1,0.0,0.0
109,2022-04-22,0,0,0.0,0.0
110,2022-04-25,0,0,0.0,0.0
111,2022-04-26,1,0,0.1111111111111111,0.01818181818181818
112,2022-04-27,1,0,0.1,0.02040816326530612
113,2022-04-28,0,0,0.0,0.0
114,2022-04-29,0,0,0.0,0.0
115,2022-05-02,0,0,0.0,0.0
116,2022-05-03,1,0,0.1111111111111111,0.020833333333333332
117,2022-05-04,0,0,0.0,0.0
118,2022-05-05,0,0,0.0,0.0
119,2022-05-06,0,0,0.0,0.0
120,2022-05-09,1,1,0.1111111111111111,0.02
121,2022-05-10,0,0,0.0,0.0
122,2022-05-11,1,1,0.047619047619047616,0.01818181818181818
123,2022-05-12,1,1,0.0625,0.014925373134328358
124,2022-05-13,1,1,0.1,0.017857142857142856
125,2022-05-16,1,1,0.1111111111111111,0.022222222222222223
126,2022-05-17,0,0,0.0,0.0
127,2022-05-18,1,1,0.2,0.01639344262295082
128,2022-05-19,0,0,0.0,0.0
129,2022-05-20,1,1,0.14285714285714285,0.02
130,2022-05-23,1,0,0.16666666666666666,0.02
131,2022-05-24,0,0,0.0,0.0
132,2022-05-25,0,0,0.0,0.0
133,2022-05-26,0,0,0.0,0.0
134,2022-05-27,1,1,0.2,0.02127659574468085
135,2022-05-31,0,0,0.0,0.0
136,2022-06-01,1,0,0.05,0.01818181818181818
137,2022-06-02,0,0,0.0,0.0
138,2022-06-03,1,0,0.047619047619047616,0.021739130434782608
139,2022-06-06,0,1,0.0,0.0
140,2022-06-07,0,0,0.0,0.0
141,2022-06-08,0,0,0.0,0.0
142,2022-06-09,0,1,0.0,0.0
143,2022-06-10,0,0,0.0,0.0
144,2022-06-13,0,0,0.0,0.0
145,2022-06-14,1,1,0.125,0.017241379310344827
146,2022-06-15,0,0,0.0,0.0
147,2022-06-16,1,1,0.034482758620689655,0.015625
148,2022-06-17,0,0,0.0,0.0
149,2022-06-21,0,1,0.0,0.0
150,2022-06-22,1,1,0.25,0.01694915254237288
151,2022-06-23,1,1,0.041666666666666664,0.017857142857142856
152,2022-06-24,1,1,0.3333333333333333,0.022222222222222223
153,2022-06-27,0,0,0.0,0.0
154,2022-06-28,0,0,0.0,0.0
155,2022-06-29,0,0,0.0,0.0
156,2022-06-30,0,0,0.0,0.0
157,2022-07-01,0,0,0.0,0.0
158,2022-07-05,1,1,0.14285714285714285,0.02127659574468085
159,2022-07-06,1,1,0.1111111111111111,0.0196078431372549
160,2022-07-07,1,1,0.14285714285714285,0.01694915254237288
161,2022-07-08,0,0,0.0,0.0
162,2022-07-11,0,1,0.0,0.0
163,2022-07-12,1,1,0.03125,0.020833333333333332
164,2022-07-13,1,1,0.07142857142857142,0.020833333333333332
165,2022-07-14,1,1,0.3333333333333333,0.02
166,2022-07-15,1,1,0.2,0.02
167,2022-07-18,1,1,0.2,0.024390243902439025
168,2022-07-19,0,0,0.0,0.0
169,2022-07-20,0,0,0.0,0.0
170,2022-07-21,0,0,0.0,0.0
171,2022-07-22,0,0,0.0,0.0
172,2022-07-25,0,0,0.0,0.0
173,2022-07-26,1,0,0.2,0.0196078431372549
174,2022-07-27,1,1,0.1111111111111111,0.022727272727272728
175,2022-07-28,0,0,0.0,0.0
176,2022-07-29,0,0,0.0,0.0
177,2022-08-01,0,0,0.0,0.0
178,2022-08-02,0,0,0.0,0.0
179,2022-08-03,0,0,0.0,0.0
180,2022-08-04,1,0,0.125,0.022727272727272728
181,2022-08-05,0,0,0.0,0.0
182,2022-08-08,0,0,0.0,0.0
183,2022-08-09,1,0,0.125,0.018867924528301886
184,2022-08-10,1,0,0.07692307692307693,0.027777777777777776
185,2022-08-11,1,0,0.125,0.02127659574468085
186,2022-08-12,1,0,0.16666666666666666,0.029411764705882353
187,2022-08-15,0,0,0.0,0.0
188,2022-08-16,0,0,0.0,0.0
189,2022-08-17,0,0,0.0,0.0
190,2022-08-18,0,0,0.0,0.0
191,2022-08-19,1,0,0.3333333333333333,0.02631578947368421
192,2022-08-22,1,0,0.16666666666666666,0.021739130434782608
193,2022-08-23,0,0,0.0,0.0
194,2022-08-24,1,0,0.2,0.022222222222222223
195,2022-08-25,0,0,0.0,0.0
196,2022-08-26,0,1,0.0,0.0
197,2022-08-29,0,0,0.0,0.0
198,2022-08-30,1,0,0.16666666666666666,0.021739130434782608
199,2022-08-31,1,0,0.2,0.02
200,2022-09-01,0,0,0.0,0.0
201,2022-09-02,0,0,0.0,0.0
202,2022-09-06,1,1,0.05555555555555555,0.017857142857142856
203,2022-09-07,1,1,0.05263157894736842,0.01818181818181818
204,2022-09-08,1,1,0.09090909090909091,0.017543859649122806
205,2022-09-09,1,1,0.05,0.02
206,2022-09-12,0,0,0.0,0.0
207,2022-09-13,0,0,0.0,0.0
208,2022-09-14,0,0,0.0,0.0
209,2022-09-15,1,0,0.034482758620689655,0.01818181818181818
210,2022-09-16,1,0,0.08333333333333333,0.020833333333333332
211,2022-09-19,0,1,0.0,0.0
212,2022-09-20,0,0,0.0,0.0
213,2022-09-21,1,1,0.09090909090909091,0.017241379310344827
214,2022-09-22,0,0,0.0,0.0
215,2022-09-23,0,0,0.0,0.0
216,2022-09-26,0,0,0.0,0.0
217,2022-09-27,1,1,0.07142857142857142,0.01818181818181818
218,2022-09-28,1,0,0.06666666666666667,0.018867924528301886
219,2022-09-29,0,0,0.0,0.0
220,2022-09-30,0,0,0.0,0.0
221,2022-10-03,1,1,0.08333333333333333,0.024390243902439025
222,2022-10-04,0,1,0.0,0.0
223,2022-10-05,0,0,0.0,0.0
224,2022-10-06,0,0,0.0,0.0
225,2022-10-07,0,1,0.0,0.0
226,2022-10-10,0,1,0.0,0.0
227,2022-10-11,1,1,0.125,0.01818181818181818
228,2022-10-12,1,1,0.09090909090909091,0.018867924528301886
229,2022-10-13,0,1,0.0,0.0
230,2022-10-14,0,1,0.0,0.0
231,2022-10-17,0,1,0.0,0.0
232,2022-10-18,0,1,0.0,0.0
233,2022-10-19,0,1,0.0,0.0
234,2022-10-20,1,1,0.0625,0.02127659574468085
235,2022-10-21,1,1,0.07142857142857142,0.02564102564102564
236,2022-10-24,1,1,0.07142857142857142,0.017857142857142856
237,2022-10-25,1,1,0.047619047619047616,0.02
238,2022-10-26,0,0,0.0,0.0
239,2022-10-27,1,0,0.0625,0.018867924528301886
240,2022-10-28,1,0,0.07142857142857142,0.021739130434782608
241,2022-10-31,0,0,0.0,0.0
242,2022-11-01,0,0,0.0,0.0
243,2022-11-02,1,0,0.0625,0.017543859649122806
244,2022-11-03,1,0,0.045454545454545456,0.018518518518518517
245,2022-11-04,1,0,0.041666666666666664,0.0196078431372549
246,2022-11-07,0,0,0.0,0.0
247,2022-11-08,0,0,0.0,0.0
248,2022-11-09,1,1,0.02857142857142857,0.015384615384615385
249,2022-11-10,0,0,0.0,0.0
250,2022-11-11,0,1,0.0,0.0
251,2022-11-14,1,1,0.041666666666666664,0.019230769230769232
252,2022-11-15,0,0,0.0,0.0
253,2022-11-16,1,1,0.05263157894736842,0.018867924528301886
254,2022-11-17,1,0,0.07692307692307693,0.017857142857142856
255,2022-11-18,1,0,0.0625,0.022727272727272728
256,2022-11-21,1,1,0.0625,0.0196078431372549
257,2022-11-22,1,0,0.058823529411764705,0.01694915254237288
258,2022-11-23,0,0,0.0,0.0
259,2022-11-25,0,0,0.0,0.0
260,2022-11-28,1,1,0.06666666666666667,0.01818181818181818
261,2022-11-29,1,1,0.16666666666666666,0.01818181818181818
262,2022-11-30,0,1,0.0,0.0
263,2022-12-01,1,1,0.08333333333333333,0.020833333333333332
264,2022-12-02,0,0,0.0,0.0
265,2022-12-05,1,1,0.08333333333333333,0.0196078431372549
266,2022-12-06,0,0,0.0,0.0
267,2022-12-07,1,1,0.08333333333333333,0.020833333333333332
268,2022-12-08,0,1,0.0,0.0
269,2022-12-09,0,1,0.0,0.0
270,2022-12-12,1,1,0.04,0.021739130434782608
271,2022-12-13,1,1,0.023255813953488372,0.02
272,2022-12-14,0,1,0.0,0.0
273,2022-12-15,0,1,0.0,0.0
274,2022-12-16,1,1,0.043478260869565216,0.02040816326530612
275,2022-12-19,1,1,0.07142857142857142,0.023255813953488372
276,2022-12-20,0,1,0.0,0.0
277,2022-12-21,1,1,0.037037037037037035,0.02
278,2022-12-22,0,1,0.0,0.0
279,2022-12-23,1,1,0.07692307692307693,0.02631578947368421
280,2022-12-27,0,1,0.0,0.0
281,2022-12-28,1,1,0.0625,0.024390243902439025
282,2022-12-29,0,1,0.0,0.0
283,2022-12-30,0,1,0.0,0.0
284,2023-01-03,1,1,0.03571428571428571,0.024390243902439025
285,2023-01-04,0,1,0.0,0.0
286,2023-01-05,1,1,0.05263157894736842,0.023255813953488372
287,2023-01-06,1,1,0.0625,0.019230769230769232
288,2023-01-09,1,1,0.03125,0.021739130434782608
289,2023-01-10,1,1,0.034482758620689655,0.016666666666666666
290,2023-01-11,1,1,0.03571428571428571,0.017543859649122806
291,2023-01-12,1,1,0.015625,0.017857142857142856
292,2023-01-13,1,1,0.02702702702702703,0.018518518518518517
293,2023-01-17,0,1,0.0,0.0
294,2023-01-18,1,1,0.04,0.016666666666666666
295,2023-01-19,1,1,0.02857142857142857,0.016129032258064516
296,2023-01-20,1,0,0.027777777777777776,0.0196078431372549
297,2023-01-23,0,0,0.0,0.0
298,2023-01-24,1,1,0.05555555555555555,0.017241379310344827
299,2023-01-25,0,0,0.0,0.0
300,2023-01-26,1,1,0.030303030303030304,0.017543859649122806
301,2023-01-27,0,1,0.0,0.0
302,2023-01-30,1,1,0.03333333333333333,0.02040816326530612
303,2023-01-31,1,0,0.029411764705882353,0.017241379310344827
304,2023-02-01,0,0,0.0,0.0
305,2023-02-02,0,0,0.0,0.0
306,2023-02-03,0,0,0.0,0.0
307,2023-02-06,1,0,0.02040816326530612,0.02127659574468085
308,2023-02-07,0,0,0.0,0.0
309,2023-02-08,0,0,0.0,0.0
310,2023-02-09,0,0,0.0,0.0
311,2023-02-10,1,0,0.030303030303030304,0.01818181818181818
312,2023-02-13,1,0,0.02702702702702703,0.018867924528301886
313,2023-02-14,1,0,0.02127659574468085,0.018518518518518517
314,2023-02-15,0,1,0.0,0.0
315,2023-02-16,1,0,0.015873015873015872,0.0196078431372549
316,2023-02-17,1,0,0.0196078431372549,0.020833333333333332
317,2023-02-21,0,0,0.0,0.0
318,2023-02-22,0,0,0.0,0.0
319,2023-02-23,0,0,0.0,0.0
320,2023-02-24,0,0,0.0,0.0
321,2023-02-27,0,0,0.0,0.0
322,2023-02-28,1,0,0.01282051282051282,0.01639344262295082
323,2023-03-01,0,0,0.0,0.0
324,2023-03-02,0,0,0.0,0.0
325,2023-03-03,0,1,0.0,0.0
326,2023-03-06,0,0,0.0,0.0
327,2023-03-07,0,1,0.0,0.0
328,2023-03-08,0,1,0.0,0.0
329,2023-03-09,0,1,0.0,0.0
330,2023-03-10,1,1,0.008849557522123894,0.021739130434782608
331,2023-03-13,1,1,0.007407407407407408,0.01818181818181818
332,2023-03-14,0,1,0.0,0.0
333,2023-03-15,1,1,0.009615384615384616,0.02
334,2023-03-16,1,0,0.01098901098901099,0.020833333333333332
335,2023-03-17,0,0,0.0,0.0
336,2023-03-20,1,1,0.008928571428571428,0.019230769230769232
337,2023-03-21,0,0,0.0,0.0
338,2023-03-22,1,1,0.008,0.015873015873015872
339,2023-03-23,0,0,0.0,0.0
340,2023-03-24,1,1,0.0125,0.022222222222222223
341,2023-03-27,1,1,0.012195121951219513,0.019230769230769232
342,2023-03-28,1,1,0.016129032258064516,0.017241379310344827
343,2023-03-29,0,0,0.0,0.0
344,2023-03-30,1,1,0.015625,0.02040816326530612
345,2023-03-31,0,0,0.0,0.0
346,2023-04-03,1,0,0.010752688172043012,0.021739130434782608
347,2023-04-04,1,0,0.011235955056179775,0.01694915254237288
348,2023-04-05,0,0,0.0,0.0
349,2023-04-06,0,0,0.0,0.0
350,2023-04-10,1,0,0.010752688172043012,0.02631578947368421
351,2023-04-11,0,0,0.0,0.0
352,2023-04-12,1,0,0.008130081300813009,0.018867924528301886
353,2023-04-13,1,0,0.008620689655172414,0.02127659574468085
354,2023-04-14,0,0,0.0,0.0
355,2023-04-17,1,0,0.009009009009009009,0.02040816326530612
356,2023-04-18,0,0,0.0,0.0
357,2023-04-19,0,0,0.0,0.0
358,2023-04-20,0,0,0.0,0.0
359,2023-04-21,1,1,0.012987012987012988,0.02857142857142857
360,2023-04-24,1,0,0.011235955056179775,0.023255813953488372
361,2023-04-25,1,0,0.014084507042253521,0.020833333333333332
362,2023-04-26,1,1,0.007194244604316547,0.02040816326530612
363,2023-04-27,0,0,0.0,0.0
364,2023-04-28,0,0,0.0,0.0
365,2023-05-01,1,1,0.01694915254237288,0.022727272727272728
366,2023-05-02,1,0,0.009900990099009901,0.02
367,2023-05-03,0,0,0.0,0.0
368,2023-05-04,1,0,0.010416666666666666,0.02127659574468085
369,2023-05-05,0,0,0.0,0.0
370,2023-05-08,0,0,0.0,0.0
371,2023-05-09,0,0,0.0,0.0
372,2023-05-10,0,0,0.0,0.0
373,2023-05-11,0,1,0.0,0.0
374,2023-05-12,0,1,0.0,0.0
375,2023-05-15,0,0,0.0,0.0
376,2023-05-16,1,0,0.009433962264150943,0.01639344262295082
377,2023-05-17,0,0,0.0,0.0
378,2023-05-18,1,1,0.010752688172043012,0.017857142857142856
379,2023-05-19,1,0,0.008403361344537815,0.015625
380,2023-05-22,1,0,0.009174311926605505,0.015625
381,2023-05-23,0,0,0.0,0.0
382,2023-05-24,1,0,0.006993006993006993,0.017543859649122806
383,2023-05-25,1,0,0.007462686567164179,0.013513513513513514
384,2023-05-26,1,0,0.006289308176100629,0.018867924528301886
385,2023-05-30,0,0,0.0,0.0
386,2023-05-31,0,0,0.0,0.0
387,2023-06-01,1,0,0.006369426751592357,0.016129032258064516
388,2023-06-02,0,0,0.0,0.0
389,2023-06-05,1,1,0.0049504950495049506,0.01818181818181818
390,2023-06-06,0,0,0.0,0.0
391,2023-06-07,1,0,0.004739336492890996,0.01694915254237288
392,2023-06-08,0,0,0.0,0.0
393,2023-06-09,0,0,0.0,0.0
394,2023-06-12,1,0,0.0,-0.017857142857142856
